code_name,hidden_units,cleanup_units,p_noise,learning_rate,cond,mse,max_acc,k,x0
64195076,50.0,5.0,0.0,0.01,HF_CON,0.0008999204939345101,0.9775857724108791,36.189551885645855,0.00556487173571263
64195076,50.0,5.0,0.0,0.01,HF_INC,0.0048674753327546325,0.9666492430377502,19.640839915414897,1.1454150207167358e-18
64195076,50.0,5.0,0.0,0.01,LF_CON,0.001280987504482484,0.9921229317032676,30.191328543402467,2.07247727208851e-24
64195076,50.0,5.0,0.0,0.01,LF_INC,0.007091488778267767,0.7560125502773016,14.191023485466932,1.305691485218721e-17
64195076,50.0,5.0,0.0,0.01,NW_AMB,0.0033973667732291974,0.7867588877480804,135.00070165592905,0.008807298759559249
64195076,50.0,5.0,0.0,0.01,NW_UN,0.0036048110492241155,0.8148693097841373,120.0109438483919,0.009093484287024606
64195077,50.0,5.0,0.0,0.008,HF_CON,0.0017476933694722749,0.999430895825575,30.461016936372452,0.0058519288132070834
64195077,50.0,5.0,0.0,0.008,HF_INC,0.002180281797350073,0.9786328894814138,15.406957129482624,9.118541412988217e-16
64195077,50.0,5.0,0.0,0.008,LF_CON,0.0016969844260124151,0.976977109994326,28.55228443212829,1.9608147704052753e-21
64195077,50.0,5.0,0.0,0.008,LF_INC,0.00689349898409037,0.8423045816496096,16.25959023172605,9.578038370895164e-24
64195077,50.0,5.0,0.0,0.008,NW_AMB,0.0038178235939179653,0.799507268126814,33.023176532523095,0.006400288146136721
64195077,50.0,5.0,0.0,0.008,NW_UN,0.002764452219714795,0.819511061148885,40.34771437219802,0.008003554696845995
64195078,50.0,5.0,0.0,0.006,HF_CON,0.0007554111678718722,0.9949224260341396,21.99061468778437,0.007621266235154556
64195078,50.0,5.0,0.0,0.006,HF_INC,0.002187455176645036,0.9199974575663985,17.48396681438726,0.0026069374968942095
64195078,50.0,5.0,0.0,0.006,LF_CON,0.002460484249866408,0.9411491107041946,18.585484306948278,0.0020845750441918095
64195078,50.0,5.0,0.0,0.006,LF_INC,0.005443372264971748,0.7262136586644315,12.968256399473518,6.665267997984293e-25
64195078,50.0,5.0,0.0,0.006,NW_AMB,0.00187986286189019,0.8996757026816854,34.294958834400205,0.007832458361651687
64195078,50.0,5.0,0.0,0.006,NW_UN,0.0010578423278456712,0.8986532417188505,33.27010765379435,0.007573446125701213
64195079,50.0,5.0,0.0,0.004,HF_CON,0.0006118054762662313,0.9627657184694162,20.790671773910834,0.01764450647276366
64195079,50.0,5.0,0.0,0.004,HF_INC,0.0008318777304370411,0.8880071852489384,17.831893697724833,0.016844180688462388
64195079,50.0,5.0,0.0,0.004,LF_CON,0.0008051864738414,0.9284837852395662,18.119531858402087,0.007595424261447925
64195079,50.0,5.0,0.0,0.004,LF_INC,0.00249564833573891,0.6483625199353239,10.52580268273445,1.0784265435385913e-20
64195079,50.0,5.0,0.0,0.004,NW_AMB,0.0029947727251206984,0.8381570538791611,22.304998566063404,0.016622632533182757
64195079,50.0,5.0,0.0,0.004,NW_UN,0.0038168650918038293,0.8341719918240524,27.187429778232794,0.019674959553814934
64195080,50.0,5.0,0.0,0.002,HF_CON,0.0009225422149752647,0.9731696828816362,10.31303585254746,0.034265502024006605
64195080,50.0,5.0,0.0,0.002,HF_INC,0.0011279863277889699,0.9546917535357067,5.5646116192058015,0.011183975206828196
64195080,50.0,5.0,0.0,0.002,LF_CON,0.0007291664419253161,0.9923455591300845,7.130877576905417,0.009243430123415032
64195080,50.0,5.0,0.0,0.002,LF_INC,0.0046417752983412925,0.7062261477228923,5.170008676166817,1.566622819682589e-19
64195080,50.0,5.0,0.0,0.002,NW_AMB,0.0010646110883190149,0.878559323689958,11.792495751901608,0.02161017802767643
64195080,50.0,5.0,0.0,0.002,NW_UN,0.002527955353786816,0.9345479613165869,8.862057961310473,0.022345890738697746
64195081,100.0,5.0,0.0,0.01,HF_CON,0.0009355297221363814,0.9967143611983686,54.32197924716185,0.0064859716666425945
64195081,100.0,5.0,0.0,0.01,HF_INC,0.00095842389885774,0.9907738562935486,23.25684222123157,6.783107082329269e-05
64195081,100.0,5.0,0.0,0.01,LF_CON,0.0005826552429956426,0.9981274562646579,36.980774896038234,1.1826103057449903e-26
64195081,100.0,5.0,0.0,0.01,LF_INC,0.006050869922425694,0.9687414655869502,12.182015604662594,2.7531631043017557e-23
64195081,100.0,5.0,0.0,0.01,NW_AMB,0.0028590334589541472,0.884042534279017,68.84554006064485,0.005483281259276072
64195081,100.0,5.0,0.0,0.01,NW_UN,0.0022691477973749846,0.8942338172680377,111.7461521519297,0.007044649249504808
64195082,100.0,5.0,0.0,0.008,HF_CON,0.00036603982976727325,0.9989235034144233,30.795018977784448,0.00580541452006196
64195082,100.0,5.0,0.0,0.008,HF_INC,0.0023148019524495706,0.9844802790546993,16.671097678192613,5.753524499402352e-24
64195082,100.0,5.0,0.0,0.008,LF_CON,0.001052427461773149,0.9981812853489714,29.05767996720284,0.004066550267465965
64195082,100.0,5.0,0.0,0.008,LF_INC,0.00936331292727762,0.9084282989616201,10.648477455048123,6.086727992928761e-22
64195082,100.0,5.0,0.0,0.008,NW_AMB,0.0063784548738688674,0.8407375346991619,62.406371827629506,0.007674335390313812
64195082,100.0,5.0,0.0,0.008,NW_UN,0.0025142402983154557,0.9432651381532251,54.605842004555335,0.008007359042114944
64195083,100.0,5.0,0.0,0.006,HF_CON,0.000890020481429124,0.9991184170579985,28.14911298772382,0.009053900205872668
64195083,100.0,5.0,0.0,0.006,HF_INC,0.0011204312126364502,0.9761282886650451,14.811493280009966,3.819344367421434e-25
